Customer,Name,Currency,Ctlg Nbr,Prod Group Catalog,Product ID,Descr,Brand,Category,Kit,UOM,Default UOM,Pricing UOM,List Price,Discount_pct,DFI_Price
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91633,SYMPHRND 623TR ROT C,SONANCE,CSERIES,N,PR,Y,Default,121.5000,0.25,91.13
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91634,SYMPHRND 624TR ROT C,SONANCE,CSERIES,N,PR,Y,Default,180.0000,0.25,135.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91635,C201SQ,SONANCE,CSERIES,N,PR,Y,Default,63.0000,0.25,47.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91636,EXTREME XT,SONANCE,VISUAL_EXPERIEN,N,PR,Y,Default,308.0000,0.25,231.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91637,EXTREME XTR,SONANCE,VISUAL_EXPERIEN,N,PR,Y,Default,308.0000,0.25,231.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91638,EXTREME XSSTR,SONANCE,VISUAL_EXPERIEN,N,EA,Y,Default,220.0000,0.25,165.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91639,SYMPHONY CABINET LCR SPKR EACH,SONANCE,CSERIES,N,EA,Y,Default,190.0000,0.25,142.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91641,VIRTUOSO 831D,SONANCE,CSERIES,N,PR,Y,Default,309.0000,0.25,231.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91643,VIRTUOSO 832D,SONANCE,CSERIES,N,PR,Y,Default,541.0000,0.25,405.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91645,VIRTUOSO 833D,SONANCE,CSERIES,N,PR,Y,Default,773.0000,0.25,579.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91649,SONAMP 2120T RMF 230V CE,SONANCE,AMPS,N,EA,Y,Default,512.4000,0.25,384.30
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91651,SILHOUETTE I,SONANCE,CSERIES,N,EA,Y,Default,775.0000,0.25,581.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91652,SILHOUETTE II,SONANCE,CSERIES,N,EA,Y,Default,1200.0000,0.25,900.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91653,SILHOUETTE III,SONANCE,CSERIES,N,EA,Y,Default,825.0000,0.25,618.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91654,GRILLE VIRTUOSO D M,SONANCE,OTHER_SONANCE,N,PR,Y,Default,34.0000,0.25,25.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91657,SYMPHRCT 635T FB M,SONANCE,CSERIES,N,PR,Y,Default,350.0000,0.25,262.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91658,SYMPHRCT 635T FB C,SONANCE,CSERIES,N,PR,Y,Default,255.0000,0.25,191.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91662,GRILLE SYMPHRECT M,SONANCE,OTHER_SONANCE,N,PR,Y,Default,29.0000,0.25,21.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91663,GRILLE SYMPHRECT C,SONANCE,OTHER_SONANCE,N,PR,Y,Default,29.0000,0.25,21.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91664,GRILLE SYMPHRND M,SONANCE,OTHER_SONANCE,N,PR,Y,Default,29.0000,0.25,21.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91665,GRILLE SYMPHRND C,SONANCE,OTHER_SONANCE,N,PR,Y,Default,29.0000,0.25,21.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91680,GRILLE CINEMA 2 SUB [EACH],SONANCE,OTHER_SONANCE,N,EA,Y,Default,33.0000,0.25,24.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91681,NAV MASTER ACCESSORY MEMBRANE,SONANCE,OTHER_SONANCE,N,EA,Y,Default,6.0000,0.25,4.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91682,NAV DOC,SONANCE,OTHER_SONANCE,N,EA,Y,Default,50.0000,0.25,37.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91683,GRILLE SILHOUETTE I,SONANCE,OTHER_SONANCE,N,EA,Y,Default,68.2500,0.25,51.19
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91684,GRILLE SILHOUETTE II,SONANCE,OTHER_SONANCE,N,EA,Y,Default,120.0000,0.25,90.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91685,GRILLE SILHOUETTE III,SONANCE,OTHER_SONANCE,N,EA,Y,Default,91.0000,0.25,68.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,ACCESSORIES,ACC,91687,MEDIUM RECTANGLE ACOUSTIC ENCL,SONANCE,INSTALL_ACCS,N,EA,Y,Default,120.0000,0.25,90.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91687,MEDIUM RECTANGLE ACOUSTIC ENCL,SONANCE,INSTALL_ACCS,N,EA,Y,Default,120.0000,0.25,90.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91688,MEDIUM ROUND ACOUSTIC ENCLOSUR,SONANCE,INSTALL_ACCS,N,EA,Y,Default,120.0000,0.25,90.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,ACCESSORIES,ACC,91688,MEDIUM ROUND ACOUSTIC ENCLOSUR,SONANCE,INSTALL_ACCS,N,EA,Y,Default,120.0000,0.25,90.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91690,NAV WCPT TRANSFER CABLE,SONANCE,OTHER_SONANCE,N,EA,Y,Default,9.0000,0.25,6.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91691,NAV CLONE CABLE,SONANCE,OTHER_SONANCE,N,EA,Y,Default,2.4000,0.25,1.80
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91698,SONAFILL,SONANCE,OTHER_SONANCE,N,EA,Y,Default,70.0000,0.25,52.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91699,NAV HARBOR,SONANCE,AMPS,N,EA,Y,Default,824.0000,0.25,618.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91701,SYMPH 621 SSTR,SONANCE,CSERIES,N,EA,Y,Default,83.0000,0.25,62.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91702,SYMPH 623 SSTR,SONANCE,CSERIES,N,EA,Y,Default,124.0000,0.25,93.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91703,VAPOR BARRIER,SONANCE,OTHER_SONANCE,N,PK,Y,Default,225.0000,0.25,168.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91707,BRKT VIRTUOSO FD,SONANCE,OTHER_SONANCE,N,PR,Y,Default,12.5000,0.25,9.38
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91708,LARGE RECTANGLE ACOUSTIC ENCLO,SONANCE,INSTALL_ACCS,N,EA,Y,Default,145.0000,0.25,108.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,ACCESSORIES,ACC,91708,LARGE RECTANGLE ACOUSTIC ENCLO,SONANCE,INSTALL_ACCS,N,EA,Y,Default,145.0000,0.25,108.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91709,MEDIUM RECT BACKCAN FIRERATED,SONANCE,OTHER_SONANCE,N,EA,Y,Default,38.0000,0.25,28.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91710,MEDIUM ROUND BACKCAN FIRERATED,SONANCE,OTHER_SONANCE,N,EA,Y,Default,38.0000,0.25,28.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91713,SONAMP THX 5150,SONANCE,AMPS,N,EA,Y,Default,400.0000,0.25,300.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91714,SONAMP THX 5150 RMF,SONANCE,AMPS,N,EA,Y,Default,400.0000,0.25,300.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91717,NAV NET 6 ZONE SYSTEM,SONANCE,AMPS,N,SYS,Y,Default,1012.5000,0.25,759.38
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91718,NAV NET CONTROL 2,SONANCE,AMPS,N,EA,Y,Default,549.0000,0.25,411.75
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91719,NAV NET AUDIO MATRIX,SONANCE,AMPS,N,EA,Y,Default,666.0000,0.25,499.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91720,NAV NET NETWORK HUB,SONANCE,OTHER_SONANCE,N,EA,Y,Default,99.0000,0.25,74.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91721,NAV NET KEYPAD,SONANCE,OTHER_SONANCE,N,EA,Y,Default,76.5000,0.25,57.38
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91722,NAV NET MAGIC PAD,SONANCE,OTHER_SONANCE,N,EA,Y,Default,216.0000,0.25,162.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91724,NAV NET DEALER KIT,SONANCE,OTHER_SONANCE,N,EA,Y,Default,150.0000,0.25,112.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91725,NAV NET NDA,SONANCE,OTHER_SONANCE,N,EA,Y,Default,80.0000,0.25,60.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91726,SYMPH RS1 RND SUR,SONANCE,CSERIES,N,PR,Y,Default,206.0000,0.25,154.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91733,VC60S D A,SONANCE,OTHER_SONANCE,N,EA,Y,Default,29.2500,0.25,21.94
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91735,VC60 S D A 24PK 91733,SONANCE,OTHER_SONANCE,N,EA,Y,Default,912.0000,0.25,684.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91737,VC60R D A,SONANCE,OTHER_SONANCE,N,EA,Y,Default,30.0000,0.25,22.50
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91741,VC30R D ALM,SONANCE,OTHER_SONANCE,N,EA,Y,Default,15.0000,0.25,11.25
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91744,NAV DEALER MANUAL,SONANCE,OTHER_SONANCE,N,EA,Y,Default,2.9900,0.25,2.24
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91745,NAV NET MEMBRANES,SONANCE,AMPS,N,SET,Y,Default,32.5000,0.25,24.38
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91746,NAV NET REMOTE CONTROL,SONANCE,OTHER_SONANCE,N,EA,Y,Default,57.7100,0.25,43.28
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91747,NAV NET IR BEZEL W,SONANCE,OTHER_SONANCE,N,EA,Y,Default,16.0000,0.25,12.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91750,CINEMA 1 SUB SYS 230V RMF,SONANCE,REFERENCE,N,SYS,Y,Default,1360.0000,0.25,1020.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91751,SON OF SUB SUBWOOFER,SONANCE,AMPS,N,EA,Y,Default,180.0000,0.25,135.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91752,NAV NET RELAY CARD,SONANCE,OTHER_SONANCE,N,EA,Y,Default,200.0000,0.25,150.00
2090012,MOUNTAIN WEST DISTRIBUTORS INC - WA,USD,SONANCE,SO,91753,NAV WCPT1.0 WAY COOL PGRM TOOL,SONANCE,OTHER_SONANCE,N,EA,Y,Default,10.0000,0.25,7.50
